日期,代码,名称,最新价,涨跌幅%,涨跌额,成交量,成交额,市值,最高,最低,今开,昨收,市盈率(动),市盈率(TTM),市盈率(静),市净率,股息率%,PEG,ROE%,净利增长%,资产负债率%
2026-03-05,301658,首航新能,36.45,-2.80,-1.05,174569,626841914,18944329942,38.15,35.10,37.42,37.50,124.52,73.18,121.96,6,20.65,5,114106900.86,-47.572846006115,30.1723924804
2026-03-06,301658,首航新能,35.46,-2.72,-0.99,119338,418504383,18944329942,35.86,34.02,35.39,36.45,124.52,73.18,121.96,6,20.65,5,114106900.86,-47.572846006115,30.1723924804
2026-03-09,301658,首航新能,41.00,15.62,5.54,226537,895525141,18944329942,42.55,35.16,35.16,35.46,124.52,73.18,121.96,6,20.65,5,114106900.86,-47.572846006115,30.1723924804
2026-03-10,301658,首航新能,38.28,-6.63,-2.72,158925,615905074,18944329942,40.00,38.19,39.75,41.00,124.52,73.18,121.96,6,20.65,5,114106900.86,-47.572846006115,30.1723924804
2026-03-11,301658,首航新能,45.94,20.01,7.66,207413,886152659.78,18944329942,45.94,37.70,38.40,38.28,124.52,73.18,121.96,6,20.65,5,114106900.86,-47.572846006115,30.1723924804
2026-03-05,300504,天邑股份,15.97,4.04,0.62,143161,229387704,5236194886,16.28,15.72,15.83,15.35,-71.1,-198.15,-43.59,2.47,24.88,5,-55235752.24,-243.565552537282,10.3352376975
2026-03-06,300504,天邑股份,15.79,-1.13,-0.18,73175,115446109,5236194886,16.02,15.61,15.98,15.97,-71.1,-198.15,-43.59,2.47,24.88,5,-55235752.24,-243.565552537282,10.3352376975
2026-03-09,300504,天邑股份,15.66,-0.82,-0.13,71092,109683274,5236194886,15.70,15.20,15.52,15.79,-71.1,-198.15,-43.59,2.47,24.88,5,-55235752.24,-243.565552537282,10.3352376975
2026-03-10,300504,天邑股份,16.10,2.81,0.44,77849,124466465,5236194886,16.16,15.76,15.81,15.66,-71.1,-198.15,-43.59,2.47,24.88,5,-55235752.24,-243.565552537282,10.3352376975
2026-03-11,300504,天邑股份,19.32,20.00,3.22,340133,636318428.67,5236194886,19.32,16.37,16.38,16.10,-71.1,-198.15,-43.59,2.47,24.88,5,-55235752.24,-243.565552537282,10.3352376975
2026-03-05,300246,宝莱特,12.47,-0.56,-0.07,62999,79437215,4445366923,12.83,12.38,12.76,12.54,-399.68,-62.22,-67.21,3.84,10.45,5,-8341710.38,38.845793629417,25.3131500793
2026-03-06,300246,宝莱特,12.95,3.85,0.48,91457,117335127,4445366923,13.09,12.38,12.60,12.47,-399.68,-62.22,-67.21,3.84,10.45,5,-8341710.38,38.845793629417,25.3131500793
2026-03-09,300246,宝莱特,12.98,0.23,0.03,81404,102770548,4445366923,13.02,12.36,12.85,12.95,-399.68,-62.22,-67.21,3.84,10.45,5,-8341710.38,38.845793629417,25.3131500793
2026-03-10,300246,宝莱特,14.00,7.86,1.02,224044,310954893,4445366923,14.30,12.91,12.96,12.98,-399.68,-62.22,-67.21,3.84,10.45,5,-8341710.38,38.845793629417,25.3131500793
2026-03-11,300246,宝莱特,16.80,20.00,2.80,306965,488959454.16,4445366923,16.80,14.17,14.17,14.00,-399.68,-62.22,-67.21,3.84,10.45,5,-8341710.38,38.845793629417,25.3131500793
2026-03-05,300243,瑞丰高材,11.75,1.82,0.21,83374,98139014,3543541060,11.91,11.65,11.81,11.54,109.04,160.51,358.67,3.3,13.01,5,24373143.65,-33.35168940716,15.0143003069
2026-03-06,300243,瑞丰高材,12.11,3.06,0.36,82504,99074548,3543541060,12.12,11.65,11.72,11.75,109.04,160.51,358.67,3.3,13.01,5,24373143.65,-33.35168940716,15.0143003069
2026-03-09,300243,瑞丰高材,11.94,-1.40,-0.17,80955,96351753,3543541060,12.04,11.75,11.97,12.11,109.04,160.51,358.67,3.3,13.01,5,24373143.65,-33.35168940716,15.0143003069
2026-03-10,300243,瑞丰高材,12.16,1.84,0.22,72690,88093356,3543541060,12.22,11.92,12.00,11.94,109.04,160.51,358.67,3.3,13.01,5,24373143.65,-33.35168940716,15.0143003069
2026-03-11,300243,瑞丰高材,14.15,16.37,1.99,350407,457875642.08,3543541060,14.48,12.22,12.37,12.16,109.04,160.51,358.67,3.3,13.01,5,24373143.65,-33.35168940716,15.0143003069
2026-03-05,301361,众智科技,39.91,1.89,0.74,54700,218833270,5808656480,40.80,39.41,39.60,39.17,61.67,72.86,58.79,4.8,4.6,5,70645015.56,37.019289119553,58.9717562485
2026-03-06,301361,众智科技,41.09,2.96,1.18,68531,279821346,5808656480,41.65,39.44,39.64,39.91,61.67,72.86,58.79,4.8,4.6,5,70645015.56,37.019289119553,58.9717562485
2026-03-09,301361,众智科技,40.72,-0.90,-0.37,56491,227106186,5808656480,41.43,39.21,39.74,41.09,61.67,72.86,58.79,4.8,4.6,5,70645015.56,37.019289119553,58.9717562485
2026-03-10,301361,众智科技,43.57,7.00,2.85,95089,405952472,5808656480,44.50,40.41,40.72,40.72,61.67,72.86,58.79,4.8,4.6,5,70645015.56,37.019289119553,58.9717562485
2026-03-11,301361,众智科技,49.93,14.60,6.36,151376,728039572.34,5808656480,52.28,42.66,44.00,43.57,61.67,72.86,58.79,4.8,4.6,5,70645015.56,37.019289119553,58.9717562485
2026-03-05,301150,中一科技,43.27,0.07,0.03,69054,300509011,12799852669,44.60,42.69,44.20,43.24,248.08,-152.02,557.17,3.6,12.48,5,38696713.67,156.514655424786,5.5308734785
